StateUT,Year,Season,Scheme,Crop,Applications_Enrolled,Applications_Insured,Area_Insured_ha,Premium_Paid_by_Farmers_Rs,Total_Premium_Rs,Claims_Paid_Rs,Claims_Pending_Rs,Farmers_Benefitted,Number_of_Claims
Mizoram,2022,Kharif,PMFBY,Oilseeds,243,232,140.5,39327,681490,352810,41871,163,19
Mizoram,2022,Kharif,RWBCIS,Rice,243,202,433.2,237925,1200922,1078196,113339,49,163
Mizoram,2022,Kharif,RWBCIS,Wheat,272,166,385.37,283048,501531,944355,6796,66,66
Mizoram,2022,Kharif,RWBCIS,Maize,271,196,182.02,145483,816465,275611,3128,121,19
Mizoram,2022,Kharif,RWBCIS,Cotton,274,266,366.8,138491,486940,659860,92714,190,48
Mizoram,2022,Kharif,RWBCIS,Pulses,239,189,369.95,240692,466606,277555,16006,159,21
Mizoram,2022,Kharif,RWBCIS,Oilseeds,249,161,232.88,157152,1125710,408469,10245,109,25
Mizoram,2022,Rabi,PMFBY,Rice,228,208,300.58,161187,874595,658832,1634,59,89
Mizoram,2022,Rabi,PMFBY,Wheat,270,217,443.85,179577,928467,712711,40323,94,37
Mizoram,2022,Rabi,PMFBY,Maize,271,261,535.28,154966,231304,680065,63673,165,74
Mizoram,2022,Rabi,PMFBY,Cotton,255,157,240.83,98306,641188,690283,14845,32,112
Mizoram,2022,Rabi,PMFBY,Pulses,256,210,312.86,129017,438991,450742,41353,67,27
Mizoram,2022,Rabi,PMFBY,Oilseeds,261,206,499.66,106075,305597,809924,77563,72,43
Mizoram,2022,Rabi,RWBCIS,Rice,264,191,412.16,175964,428715,1145450,15845,164,96
Mizoram,2022,Rabi,RWBCIS,Wheat,270,212,418.68,280388,438436,647877,40726,58,56
Mizoram,2022,Rabi,RWBCIS,Maize,273,208,503.76,110336,701857,1188163,135608,146,75
Mizoram,2022,Rabi,RWBCIS,Cotton,225,201,138.31,28662,843223,315449,19505,173,19
Mizoram,2022,Rabi,RWBCIS,Pulses,257,219,464.91,312705,465936,504120,20094,169,29
Mizoram,2022,Rabi,RWBCIS,Oilseeds,257,234,263.29,60585,543181,733076,86921,107,123
Mizoram,2022,Zaid,PMFBY,Rice,264,225,303.78,83239,994013,361467,12161,174,18
Mizoram,2022,Zaid,PMFBY,Wheat,265,191,103.3,32548,616978,90727,12028,63,7
Mizoram,2022,Zaid,PMFBY,Maize,258,186,417.95,195007,895160,873422,15349,118,66
Mizoram,2022,Zaid,PMFBY,Cotton,282,185,122.72,46235,1032847,67979,6861,116,5
Mizoram,2022,Zaid,PMFBY,Pulses,243,185,127.97,31323,119682,247295,14754,75,25
Mizoram,2022,Zaid,PMFBY,Oilseeds,243,164,310.96,85315,1033557,225305,31885,128,15
Mizoram,2022,Zaid,RWBCIS,Rice,284,189,189.81,65843,376691,368056,1555,88,42
Mizoram,2022,Zaid,RWBCIS,Wheat,258,190,393.28,95641,1055411,607537,28588,168,32
Mizoram,2022,Zaid,RWBCIS,Maize,264,233,272.87,118144,276886,493525,55118,91,26
Mizoram,2022,Zaid,RWBCIS,Cotton,242,204,448.52,346203,1113374,448128,65718,172,60
Mizoram,2022,Zaid,RWBCIS,Pulses,260,199,491.24,115821,743029,497753,39372,148,57
Mizoram,2022,Zaid,RWBCIS,Oilseeds,253,225,370.23,123360,548665,901567,110966,84,60
Mizoram,2023,Kharif,PMFBY,Rice,232,187,177.42,43884,773712,309587,36978,124,19
Mizoram,2023,Kharif,PMFBY,Wheat,248,205,184.53,127187,650107,196981,18472,177,32
Mizoram,2023,Kharif,PMFBY,Maize,234,150,86.81,35484,502189,166989,12707,126,10
Mizoram,2023,Kharif,PMFBY,Cotton,231,138,283.2,61955,823169,805661,47042,51,96
Mizoram,2023,Kharif,PMFBY,Pulses,257,219,270.84,106675,567960,502806,10705,152,28
Mizoram,2023,Kharif,PMFBY,Oilseeds,247,219,189.89,42678,661921,208761,5380,194,22
Mizoram,2023,Kharif,RWBCIS,Rice,282,256,385.03,95163,828768,1051203,25705,181,90
Mizoram,2023,Kharif,RWBCIS,Wheat,270,164,140.62,67866,1001460,190566,17976,34,12
Mizoram,2023,Kharif,RWBCIS,Maize,262,247,195.87,69917,1065697,174463,18858,175,11
Mizoram,2023,Kharif,RWBCIS,Cotton,244,208,181.48,108332,600860,266154,11986,180,21
Mizoram,2023,Kharif,RWBCIS,Pulses,260,220,531.46,140210,986849,711379,86485,176,78
Mizoram,2023,Kharif,RWBCIS,Oilseeds,253,161,323.78,86217,1000672,385573,33290,45,43
Mizoram,2023,Rabi,PMFBY,Rice,253,151,343.87,70357,844041,576480,45301,52,41
Mizoram,2023,Rabi,PMFBY,Wheat,259,178,112.82,27051,40826,118595,12091,75,12
Mizoram,2023,Rabi,PMFBY,Maize,237,173,320.51,206689,791381,381463,29102,65,21
Mizoram,2023,Rabi,PMFBY,Cotton,271,262,417.5,165798,261265,776285,100189,211,55
Mizoram,2023,Rabi,PMFBY,Pulses,253,225,297.73,144623,825239,801379,95085,49,117
Mizoram,2023,Rabi,PMFBY,Oilseeds,277,207,345.39,256800,1168358,848876,26687,147,130
Mizoram,2023,Rabi,RWBCIS,Rice,281,239,411.2,273917,825494,266834,28252,112,27
Mizoram,2023,Rabi,RWBCIS,Wheat,268,239,478.99,284658,1282401,790086,83693,181,74
Mizoram,2023,Rabi,RWBCIS,Maize,256,156,182.61,89794,91258,501779,21545,59,29
Mizoram,2023,Rabi,RWBCIS,Cotton,247,225,469.11,313915,402552,328198,15102,51,26
Mizoram,2023,Rabi,RWBCIS,Pulses,253,180,264.87,106172,301380,562429,56814,140,31
Mizoram,2023,Rabi,RWBCIS,Oilseeds,267,165,118.73,81631,314582,164906,3594,56,10
Mizoram,2023,Zaid,PMFBY,Rice,246,161,298.79,190318,552010,735581,26471,110,46
Mizoram,2023,Zaid,PMFBY,Wheat,306,194,199.06,54486,224180,265802,16506,162,34
Mizoram,2023,Zaid,PMFBY,Maize,270,206,313.31,237956,616211,189511,21683,124,11
Mizoram,2023,Zaid,PMFBY,Cotton,229,158,364.43,96919,939988,262895,990,58,26
Mizoram,2023,Zaid,PMFBY,Pulses,263,201,182.61,130234,175200,253799,24036,169,14
Mizoram,2023,Zaid,PMFBY,Oilseeds,281,258,531.43,394034,705610,1477063,89209,166,130
Mizoram,2023,Zaid,RWBCIS,Rice,254,186,387.9,225053,914808,417996,60792,123,53
Mizoram,2023,Zaid,RWBCIS,Wheat,270,168,261.26,139020,327985,358174,50812,67,49
Mizoram,2023,Zaid,RWBCIS,Maize,266,215,273.6,212573,645378,536375,76012,192,82
Mizoram,2023,Zaid,RWBCIS,Cotton,275,227,283.77,125049,283906,548220,44958,75,42
Mizoram,2023,Zaid,RWBCIS,Pulses,257,210,161.72,85470,266443,391162,56748,95,34
Mizoram,2023,Zaid,RWBCIS,Oilseeds,254,229,397.42,94757,933563,384592,56486,106,27
Mizoram,2024,Kharif,PMFBY,Rice,229,207,301.06,223616,798754,849420,125197,107,63
Mizoram,2024,Kharif,PMFBY,Wheat,275,255,429.38,272785,352639,1037154,48350,195,82
Mizoram,2024,Kharif,PMFBY,Maize,247,220,543.7,227637,876856,1103152,113772,50,118
Mizoram,2024,Kharif,PMFBY,Cotton,283,273,253.07,202065,899645,617740,36774,228,47
Mizoram,2024,Kharif,PMFBY,Pulses,266,223,503.57,154581,892306,283763,39423,198,28
Mizoram,2024,Kharif,PMFBY,Oilseeds,234,143,209.49,76059,549398,114316,885,30,8
Mizoram,2024,Kharif,RWBCIS,Rice,260,219,496.78,182017,1014010,1071193,5434,101,85
Mizoram,2024,Kharif,RWBCIS,Wheat,269,261,487.83,206688,303713,465107,34018,143,28
Mizoram,2024,Kharif,RWBCIS,Maize,268,221,119.61,52524,816629,179268,22469,195,13
Mizoram,2024,Kharif,RWBCIS,Cotton,238,143,243.88,168994,798934,601217,72137,114,67
Mizoram,2024,Kharif,RWBCIS,Pulses,279,198,489.97,377331,951771,1277852,50123,97,165
Mizoram,2024,Kharif,RWBCIS,Oilseeds,258,175,322.98,87422,149113,472282,29033,74,53
Mizoram,2024,Rabi,PMFBY,Rice,250,188,434.13,145284,829735,370947,19692,80,19
Mizoram,2024,Rabi,PMFBY,Wheat,254,210,164.23,125426,471295,100492,4529,91,16
Mizoram,2024,Rabi,PMFBY,Maize,263,220,112.97,89159,259675,242697,26058,70,36
Mizoram,2024,Rabi,PMFBY,Cotton,239,158,291.98,132121,669912,180543,23324,50,17
Mizoram,2024,Rabi,PMFBY,Pulses,228,194,365.72,221692,773828,1053751,80166,100,121
Mizoram,2024,Rabi,PMFBY,Oilseeds,233,167,258.52,83676,921848,775364,37497,132,43
Mizoram,2024,Rabi,RWBCIS,Rice,270,226,431.59,278234,485406,1131549,71453,79,86
Mizoram,2024,Rabi,RWBCIS,Wheat,270,175,114.2,29775,412809,153740,2622,143,11
Mizoram,2024,Rabi,RWBCIS,Maize,273,206,233.86,108290,718667,405153,50923,171,34
Mizoram,2024,Rabi,RWBCIS,Cotton,245,215,382.75,247734,323715,256085,5882,65,23
Mizoram,2024,Rabi,RWBCIS,Pulses,239,195,241.12,58296,649323,190806,21272,149,15
Mizoram,2024,Rabi,RWBCIS,Oilseeds,238,170,160.7,77511,1000157,199820,27143,40,32
Mizoram,2024,Zaid,PMFBY,Rice,267,192,148.37,59251,339710,347311,36573,167,22
Mizoram,2024,Zaid,PMFBY,Wheat,267,249,272.03,103386,844599,291552,39885,143,31
Mizoram,2024,Zaid,PMFBY,Maize,271,261,643.62,386222,499855,745326,57623,208,96
Mizoram,2024,Zaid,PMFBY,Cotton,234,185,419.84,94638,306959,937563,116145,142,56
Mizoram,2024,Zaid,PMFBY,Pulses,237,230,569.89,319968,1029235,1640263,110700,68,109
Mizoram,2024,Zaid,PMFBY,Oilseeds,273,173,144.93,114436,607620,76820,11009,95,4
Mizoram,2024,Zaid,RWBCIS,Rice,260,216,538.88,119008,960802,586680,34661,100,32
Mizoram,2024,Zaid,RWBCIS,Wheat,258,234,139.89,35235,56923,310550,24485,190,25
Mizoram,2024,Zaid,RWBCIS,Maize,243,172,407.88,142862,310582,706982,5357,39,57
Mizoram,2024,Zaid,RWBCIS,Cotton,243,173,251.67,109872,245341,490552,52268,116,45
Mizoram,2024,Zaid,RWBCIS,Pulses,237,222,319.11,101288,194341,912596,101710,93,97
Mizoram,2024,Zaid,RWBCIS,Oilseeds,281,225,433.58,189836,229738,463669,62721,127,27
Nagaland,2020,Kharif,PMFBY,Rice,372,308,569.73,284303,1106586,545984,27388,210,63
Nagaland,2020,Kharif,PMFBY,Wheat,370,309,741.02,469410,1194076,1466955,31292,174,167
Nagaland,2020,Kharif,PMFBY,Maize,357,283,153.59,42655,853697,262521,5750,149,30
Nagaland,2020,Kharif,PMFBY,Cotton,366,354,739.75,260871,669762,1964572,105325,211,151
Nagaland,2020,Kharif,PMFBY,Pulses,368,286,155.14,106834,219989,257567,22404,198,23
Nagaland,2020,Kharif,PMFBY,Oilseeds,387,328,706.08,518027,1097593,905363,22185,145,69
Nagaland,2020,Kharif,RWBCIS,Rice,402,327,679.71,236019,759915,1029747,30359,206,52
Nagaland,2020,Kharif,RWBCIS,Wheat,366,265,597.28,429302,608075,1642444,37327,71,111
Nagaland,2020,Kharif,RWBCIS,Maize,367,311,188.36,70780,531686,219716,1614,81,13
Nagaland,2020,Kharif,RWBCIS,Cotton,405,281,507.06,391736,691325,1337642,101532,244,190
Nagaland,2020,Kharif,RWBCIS,Pulses,419,335,706.7,447749,1067352,1090049,129569,289,212
Nagaland,2020,Kharif,RWBCIS,Oilseeds,378,320,672.53,495679,1246630,1541804,223117,257,89
Nagaland,2020,Rabi,PMFBY,Rice,341,276,529.68,202300,295628,676798,78275,225,36
Nagaland,2020,Rabi,PMFBY,Wheat,367,276,345.45,207173,565496,190295,12532,99,35
Nagaland,2020,Rabi,PMFBY,Maize,372,287,302.93,170315,1161192,565897,54911,242,53
Nagaland,2020,Rabi,PMFBY,Cotton,352,265,474.36,96178,949561,327420,44234,229,16
Nagaland,2020,Rabi,PMFBY,Pulses,393,341,309.17,228253,544858,407174,56047,71,51
Nagaland,2020,Rabi,PMFBY,Oilseeds,369,312,573.71,417668,538698,1035778,112715,201,88
Nagaland,2020,Rabi,RWBCIS,Rice,347,223,301.53,92626,871792,807714,47209,124,42
Nagaland,2020,Rabi,RWBCIS,Wheat,350,276,150.54,117923,1082970,219514,31417,82,14
Nagaland,2020,Rabi,RWBCIS,Maize,354,317,397.75,81251,495489,425661,43630,107,24
Nagaland,2020,Rabi,RWBCIS,Cotton,360,256,457.69,119319,597418,611537,81102,64,35
Nagaland,2020,Rabi,RWBCIS,Pulses,352,238,167.86,86043,1074257,98335,6802,112,10
Nagaland,2020,Rabi,RWBCIS,Oilseeds,364,221,453.01,159351,542646,702335,32104,59,105
Nagaland,2020,Zaid,PMFBY,Rice,362,235,466.54,174170,1057634,732851,18877,209,96
Nagaland,2020,Zaid,PMFBY,Wheat,377,279,670.43,473541,1303360,1967967,134936,75,119
Nagaland,2020,Zaid,PMFBY,Maize,367,287,674.86,204357,1053055,1043004,21403,228,53
Nagaland,2020,Zaid,PMFBY,Cotton,361,270,574.63,118518,342474,1301393,79184,116,72
Nagaland,2020,Zaid,PMFBY,Pulses,406,285,662.63,425527,579741,1342273,5302,198,84
Nagaland,2020,Zaid,PMFBY,Oilseeds,391,327,280.47,215398,890408,207075,5809,217,17
Nagaland,2020,Zaid,RWBCIS,Rice,387,328,280.09,147391,1105190,579942,4349,293,79
Nagaland,2020,Zaid,RWBCIS,Wheat,386,274,234.17,71802,930201,628110,43824,75,34
Nagaland,2020,Zaid,RWBCIS,Maize,373,281,345.64,178213,782754,575864,77452,119,42
Nagaland,2020,Zaid,RWBCIS,Cotton,362,231,202.68,137969,321166,418406,60893,131,54
Nagaland,2020,Zaid,RWBCIS,Pulses,363,266,517.91,345140,846322,1273040,60515,149,83
Nagaland,2020,Zaid,RWBCIS,Oilseeds,352,298,539.59,267627,1063212,920075,121632,213,95
Nagaland,2021,Kharif,PMFBY,Rice,367,344,294.95,150070,268854,353538,36378,88,24
Nagaland,2021,Kharif,PMFBY,Wheat,356,338,230.77,103481,1022890,232378,32548,192,36
Nagaland,2021,Kharif,PMFBY,Maize,371,262,414.73,203282,685249,298753,35954,141,17
Nagaland,2021,Kharif,PMFBY,Cotton,394,237,550.43,361312,468563,1240844,3727,52,96
Nagaland,2021,Kharif,PMFBY,Pulses,402,250,287.42,121588,602467,265075,22963,126,14
Nagaland,2021,Kharif,PMFBY,Oilseeds,411,347,269.13,89888,990603,604981,17190,208,32
Nagaland,2021,Kharif,RWBCIS,Rice,365,349,496.46,223578,491145,1354821,171849,168,248
Nagaland,2021,Kharif,RWBCIS,Wheat,370,242,311.26,80755,1038219,192623,11597,76,13
Nagaland,2021,Kharif,RWBCIS,Maize,340,303,727.24,450246,549737,524559,57565,106,45
Nagaland,2021,Kharif,RWBCIS,Cotton,396,330,656.0,272487,1270933,786580,69613,131,118
Nagaland,2021,Kharif,RWBCIS,Pulses,377,309,499.76,262551,385852,799842,97421,130,69
Nagaland,2021,Kharif,RWBCIS,Oilseeds,373,316,221.33,159159,991224,527676,36889,231,43
Nagaland,2021,Rabi,PMFBY,Rice,387,363,511.52,366047,467504,385967,31742,238,53
Nagaland,2021,Rabi,PMFBY,Wheat,372,308,680.74,437432,815723,2031658,202029,237,135
Nagaland,2021,Rabi,PMFBY,Maize,374,321,539.42,311575,654586,847872,70979,253,52
Nagaland,2021,Rabi,PMFBY,Cotton,347,211,108.86,36427,835747,300657,17668,125,19
Nagaland,2021,Rabi,PMFBY,Pulses,333,206,357.02,223600,531883,940616,63888,185,188
Nagaland,2021,Rabi,PMFBY,Oilseeds,345,210,433.58,100444,849423,273772,10378,166,14
Nagaland,2021,Rabi,RWBCIS,Rice,369,309,411.49,280505,575833,479176,47190,146,68
Nagaland,2021,Rabi,RWBCIS,Wheat,336,287,379.87,280244,691100,864485,117887,226,68
Nagaland,2021,Rabi,RWBCIS,Maize,384,324,328.89,151567,361112,195842,17289,261,36
Nagaland,2021,Rabi,RWBCIS,Cotton,354,301,253.58,59342,578390,645811,3413,134,43
Nagaland,2021,Rabi,RWBCIS,Pulses,348,279,671.4,250033,737560,1006984,135550,70,75
Nagaland,2021,Rabi,RWBCIS,Oilseeds,385,291,350.18,196860,936265,892493,55771,204,48
Nagaland,2021,Zaid,PMFBY,Rice,407,342,534.56,165670,289299,916384,21917,207,62
Nagaland,2021,Zaid,PMFBY,Wheat,375,233,169.32,49473,1039355,230485,10094,55,16
Nagaland,2021,Zaid,PMFBY,Maize,382,362,760.56,257215,743064,1251864,65445,280,189
Nagaland,2021,Zaid,PMFBY,Cotton,369,287,637.91,211084,314007,1304220,34008,72,114
Nagaland,2021,Zaid,PMFBY,Pulses,356,248,169.95,91129,118147,495564,25373,170,29
Nagaland,2021,Zaid,PMFBY,Oilseeds,360,329,323.29,257176,277864,337030,39434,111,22
Nagaland,2021,Zaid,RWBCIS,Rice,372,281,263.09,133743,783566,432759,36804,138,34
Nagaland,2021,Zaid,RWBCIS,Wheat,418,291,587.09,236333,1052540,376973,18783,77,60
Nagaland,2021,Zaid,RWBCIS,Maize,382,355,544.15,205257,926145,1120972,134448,231,149
Nagaland,2021,Zaid,RWBCIS,Cotton,383,297,695.91,289484,901443,980331,13930,154,70
Nagaland,2021,Zaid,RWBCIS,Pulses,368,335,187.39,70712,882469,524940,32465,275,66
Nagaland,2021,Zaid,RWBCIS,Oilseeds,356,335,316.78,74632,164956,365391,41734,187,31
Nagaland,2022,Kharif,PMFBY,Rice,378,239,451.58,341428,554778,1171593,122670,50,138
Nagaland,2022,Kharif,PMFBY,Wheat,379,303,292.05,176691,443109,430361,23815,203,68
Nagaland,2022,Kharif,PMFBY,Maize,355,227,207.75,117220,849388,446820,31849,54,23
Nagaland,2022,Kharif,PMFBY,Cotton,352,333,631.22,208826,524622,363276,33390,209,23
Nagaland,2022,Kharif,PMFBY,Pulses,387,283,502.91,250187,365281,361272,42348,87,48
Nagaland,2022,Kharif,PMFBY,Oilseeds,394,326,475.53,257451,859220,1388341,46434,114,237
Nagaland,2022,Kharif,RWBCIS,Rice,382,245,301.12,92503,423984,866672,88832,50,99
Nagaland,2022,Kharif,RWBCIS,Wheat,387,350,668.36,231430,761688,1263198,85499,114,151
Nagaland,2022,Kharif,RWBCIS,Maize,361,342,640.29,392991,965321,1423542,209658,161,91
Nagaland,2022,Kharif,RWBCIS,Cotton,365,338,778.93,158339,456530,650259,44281,185,74
Nagaland,2022,Kharif,RWBCIS,Pulses,386,356,304.49,127990,750227,613041,7175,282,44
Nagaland,2022,Kharif,RWBCIS,Oilseeds,398,321,745.22,528394,1486516,1957131,241081,170,239
Nagaland,2022,Rabi,PMFBY,Rice,405,286,338.05,206767,684584,237888,5047,206,24
Nagaland,2022,Rabi,PMFBY,Wheat,374,331,276.06,71510,662662,649868,14528,152,36
Nagaland,2022,Rabi,PMFBY,Maize,414,260,264.0,89702,328665,457962,40064,74,25
Nagaland,2022,Rabi,PMFBY,Cotton,380,370,649.83,492165,778421,715023,55398,206,85
Nagaland,2022,Rabi,PMFBY,Pulses,385,332,469.57,288036,765116,1382102,69385,295,231
Nagaland,2022,Rabi,PMFBY,Oilseeds,384,350,727.73,494948,589686,1860015,59718,76,225
Nagaland,2022,Rabi,RWBCIS,Rice,372,254,184.41,108356,1092254,369221,38273,151,22
Nagaland,2022,Rabi,RWBCIS,Wheat,369,357,270.74,148068,940527,496361,30466,235,55
Nagaland,2022,Rabi,RWBCIS,Maize,381,345,622.57,438562,725720,1302909,115425,219,173
Nagaland,2022,Rabi,RWBCIS,Cotton,360,298,728.64,562831,790020,919626,4975,143,52
Nagaland,2022,Rabi,RWBCIS,Pulses,406,284,267.44,109667,914426,566209,66751,173,64
Nagaland,2022,Rabi,RWBCIS,Oilseeds,357,320,702.16,464106,538508,1689084,11596,88,146
Nagaland,2022,Zaid,PMFBY,Rice,372,319,257.32,86379,372054,208219,8984,226,24
Nagaland,2022,Zaid,PMFBY,Wheat,395,285,377.58,236251,753043,195661,27069,70,10
Nagaland,2022,Zaid,PMFBY,Maize,375,235,229.71,153108,1044367,418715,22193,57,27
Nagaland,2022,Zaid,PMFBY,Cotton,360,307,451.73,93588,204512,1015491,9699,247,105
Nagaland,2022,Zaid,PMFBY,Pulses,342,273,303.93,134841,156253,655500,35965,191,45
Nagaland,2022,Zaid,PMFBY,Oilseeds,382,320,427.98,185725,305307,1047955,119641,119,58
Nagaland,2022,Zaid,RWBCIS,Rice,378,229,289.8,169360,259107,477857,71208,161,36
Nagaland,2022,Zaid,RWBCIS,Wheat,375,361,850.64,518416,617427,867300,23926,203,107
Nagaland,2022,Zaid,RWBCIS,Maize,385,233,463.23,145129,970014,642784,32649,49,32
Nagaland,2022,Zaid,RWBCIS,Cotton,380,241,457.49,169106,1157386,1315910,145138,212,200
Nagaland,2022,Zaid,RWBCIS,Pulses,360,225,550.0,129791,986479,1331222,75054,48,261
Nagaland,2022,Zaid,RWBCIS,Oilseeds,355,274,457.74,303562,680916,412382,49489,119,44
Nagaland,2023,Kharif,PMFBY,Rice,405,320,219.44,170414,385641,218030,29071,281,14
Nagaland,2023,Kharif,PMFBY,Wheat,347,315,518.16,144855,316742,1378489,108976,219,130
Nagaland,2023,Kharif,PMFBY,Maize,375,271,501.24,152128,273867,1232599,156067,181,167
Nagaland,2023,Kharif,PMFBY,Cotton,358,254,542.98,201751,1141213,1512814,9817,188,201
Nagaland,2023,Kharif,PMFBY,Pulses,356,291,335.12,182717,353375,186274,15961,164,12
Nagaland,2023,Kharif,PMFBY,Oilseeds,382,295,152.44,88170,763302,274962,28430,126,38
Nagaland,2023,Kharif,RWBCIS,Rice,383,296,439.04,213514,811963,251848,37387,208,22
Nagaland,2023,Kharif,RWBCIS,Wheat,354,302,342.44,115638,495592,678821,68395,197,38
Nagaland,2023,Kharif,RWBCIS,Maize,356,227,362.26,199379,415616,535867,66490,69,47
Nagaland,2023,Kharif,RWBCIS,Cotton,410,358,771.04,248479,466696,1847781,208792,87,188
Nagaland,2023,Kharif,RWBCIS,Pulses,368,279,656.17,523600,1304326,1421242,83547,69,105
Nagaland,2023,Kharif,RWBCIS,Oilseeds,366,315,449.59,292798,690971,394362,27291,273,23
Nagaland,2023,Rabi,PMFBY,Rice,355,338,252.62,89016,351238,486883,29997,86,34
Nagaland,2023,Rabi,PMFBY,Wheat,344,272,404.56,97296,736516,638517,39375,168,45
Nagaland,2023,Rabi,PMFBY,Maize,358,293,590.47,380478,1233660,851480,44072,229,99
Nagaland,2023,Rabi,PMFBY,Cotton,371,351,461.78,151229,843242,513320,72648,161,34
Nagaland,2023,Rabi,PMFBY,Pulses,365,343,712.01,504886,606766,2000863,187371,277,131
Nagaland,2023,Rabi,PMFBY,Oilseeds,355,225,425.58,189554,341287,1254642,169581,186,75
Nagaland,2023,Rabi,RWBCIS,Rice,384,245,563.78,410814,1158666,1588894,131819,126,81
Nagaland,2023,Rabi,RWBCIS,Wheat,371,275,487.48,308116,932771,870838,39202,179,47
Nagaland,2023,Rabi,RWBCIS,Maize,347,295,709.05,389756,851488,1759052,42466,138,147
Nagaland,2023,Rabi,RWBCIS,Cotton,362,227,203.38,81616,877506,194481,10112,56,15
Nagaland,2023,Rabi,RWBCIS,Pulses,380,346,370.48,104539,260622,1082694,109335,80,154
Nagaland,2023,Rabi,RWBCIS,Oilseeds,373,337,554.85,314921,777746,632616,55930,237,60
Nagaland,2023,Zaid,PMFBY,Rice,374,245,389.66,159389,862183,213154,21437,67,36
Nagaland,2023,Zaid,PMFBY,Wheat,386,362,557.23,288653,995670,729132,4037,131,85
Nagaland,2023,Zaid,PMFBY,Maize,364,329,780.36,623637,1057416,833177,69987,269,70
Nagaland,2023,Zaid,PMFBY,Cotton,374,284,361.81,148709,1036007,234545,34202,58,12
Nagaland,2023,Zaid,PMFBY,Pulses,376,252,455.72,332299,471779,372644,16991,79,56
Nagaland,2023,Zaid,PMFBY,Oilseeds,383,326,724.98,428619,547986,1402071,82784,144,143
Nagaland,2023,Zaid,RWBCIS,Rice,409,266,386.23,150990,1128928,1137475,54519,119,81
Nagaland,2023,Zaid,RWBCIS,Wheat,372,316,369.17,218634,602315,830826,83224,176,53
Nagaland,2023,Zaid,RWBCIS,Maize,371,248,246.01,58535,769916,348959,4895,192,23
Nagaland,2023,Zaid,RWBCIS,Cotton,371,243,344.27,251712,440107,661566,95433,157,57
Nagaland,2023,Zaid,RWBCIS,Pulses,386,318,713.49,362992,1193021,2054886,154500,198,145
Nagaland,2023,Zaid,RWBCIS,Oilseeds,390,238,468.08,313749,1014178,1069207,6640,121,62
Nagaland,2024,Kharif,PMFBY,Rice,410,336,708.51,461555,1080445,387362,42061,249,24
Nagaland,2024,Kharif,PMFBY,Wheat,389,380,775.8,424524,1358715,2149351,262619,226,167
Nagaland,2024,Kharif,PMFBY,Maize,364,289,478.46,165890,1088491,905813,71537,146,154
Nagaland,2024,Kharif,PMFBY,Cotton,400,337,577.91,318250,843962,551095,23196,191,33
Nagaland,2024,Kharif,PMFBY,Pulses,370,234,427.29,193991,319361,934127,29086,130,97
Nagaland,2024,Kharif,PMFBY,Oilseeds,410,311,752.31,294330,938923,971847,16134,199,52
Nagaland,2024,Kharif,RWBCIS,Rice,371,308,409.7,233094,492412,592055,39282,248,58
Nagaland,2024,Kharif,RWBCIS,Wheat,381,265,476.17,313027,775144,636996,86976,78,40
Nagaland,2024,Kharif,RWBCIS,Maize,384,366,716.04,272768,626177,1058148,4890,307,173
Nagaland,2024,Kharif,RWBCIS,Cotton,385,354,568.78,361266,663988,1344573,69262,295,180
Nagaland,2024,Kharif,RWBCIS,Pulses,363,324,647.22,211272,355507,815448,59171,187,71
Nagaland,2024,Kharif,RWBCIS,Oilseeds,383,367,375.05,216188,827565,451536,27884,167,60
Nagaland,2024,Rabi,PMFBY,Rice,372,248,347.14,157291,288656,287421,27916,172,15
Nagaland,2024,Rabi,PMFBY,Wheat,342,211,330.1,189361,592884,823519,84827,188,117
Nagaland,2024,Rabi,PMFBY,Maize,333,202,477.78,182689,735119,618808,22816,62,63
Nagaland,2024,Rabi,PMFBY,Cotton,376,230,501.45,113781,1020013,926017,23400,119,46
Nagaland,2024,Rabi,PMFBY,Pulses,362,233,394.77,100088,866096,1104590,154400,64,83
Nagaland,2024,Rabi,PMFBY,Oilseeds,343,312,491.58,355527,1157201,585654,55353,64,54
Nagaland,2024,Rabi,RWBCIS,Rice,358,269,486.39,310895,1084107,1137879,49355,183,86
Nagaland,2024,Rabi,RWBCIS,Wheat,379,264,623.4,233180,671195,602631,12529,91,45
Nagaland,2024,Rabi,RWBCIS,Maize,406,293,477.09,197537,1107953,689214,50703,168,41
Nagaland,2024,Rabi,RWBCIS,Cotton,377,243,577.26,393078,416043,1474220,130601,137,284
Nagaland,2024,Rabi,RWBCIS,Pulses,390,341,181.32,122901,145940,197590,7951,106,16
Nagaland,2024,Rabi,RWBCIS,Oilseeds,378,258,339.88,93259,855788,451326,50907,119,23
Nagaland,2024,Zaid,PMFBY,Rice,352,290,697.71,410416,496139,1291601,176204,59,172
Nagaland,2024,Zaid,PMFBY,Wheat,342,294,560.16,378719,1296345,786523,5069,133,52
Nagaland,2024,Zaid,PMFBY,Maize,356,243,126.39,63808,790269,173677,19510,123,23
Nagaland,2024,Zaid,PMFBY,Cotton,342,255,593.01,310828,659260,813893,16046,157,59
Nagaland,2024,Zaid,PMFBY,Pulses,392,278,193.06,72823,500925,561818,55036,208,57
Nagaland,2024,Zaid,PMFBY,Oilseeds,350,244,406.56,164609,1022007,1208037,62208,169,81
